B,H,Q,bf16_status,bf16_tflops,bf16_latency_ms,q8kv8_status,q8kv8_skip_reason,q8kv8_tflops,q8kv8_latency_ms,q8kv8_vs_bf16_tflops
4,65536,8,ok,124.92890135596319,0.07305599749088287,ok,,133.46405028845342,0.06838399916887283,1.0683200511639082
4,131072,8,ok,122.14675017240684,0.07472000271081924,ok,,131.49500875554594,0.06940799951553345,1.0765330110702436
4,262144,8,ok,121.10941464742767,0.0753600001335144,ok,,130.17466110120026,0.07011199742555618,1.0748517072777803
4,524288,8,ok,120.44453529343444,0.07577600330114365,ok,,129.8782684444893,0.07027199864387512,1.0783242936516115
8,2048,8,ok,260.3493222024005,0.07011199742555618,ok,,290.88492352024605,0.06275200098752975,1.1172870398107146
8,4096,8,ok,254.31356352005352,0.07177600264549255,ok,,284.643400481224,0.06412799656391144,1.1192615782711834
8,8192,8,ok,241.91066050237012,0.07545600086450577,ok,,266.42939878794846,0.06851200014352798,1.1013545175506563
8,16384,8,ok,233.49379846945064,0.07817599922418594,ok,,250.9570278733559,0.07273600250482559,1.0747909773980147
8,32768,8,ok,219.14150497232063,0.08329600095748901,ok,,241.29666939808158,0.0756480023264885,1.1010998095890567
8,65536,8,ok,216.6446405127217,0.08425600081682205,ok,,237.87544641628696,0.07673600316047668,1.0979982973653049
8,131072,8,ok,216.80932792382322,0.08419200032949448,ok,,235.7129488077147,0.07744000107049942,1.0871900718705854
8,262144,8,ok,215.7433133216592,0.08460800349712372,ok,,236.00551985770358,0.07734400033950806,1.0939181206781354
8,524288,8,ok,216.72695293243206,0.08422400057315826,ok,,232.7316750164506,0.07843200117349625,1.0738474004615763
16,2048,8,ok,458.5412575398897,0.0796160027384758,ok,,538.6452570848285,0.06777600198984146,1.1746931126213225
16,4096,8,ok,409.05366362885707,0.08924800157546997,ok,,495.8064575925555,0.07363200187683105,1.2120816941085046
16,8192,8,ok,372.5834996360861,0.09798400104045868,ok,,458.5412575398897,0.0796160027384758,1.230707366235384
16,16384,8,ok,307.83882180025455,0.11859200149774551,ok,,428.2472506345028,0.08524800091981888,1.3911411437001175
16,32768,8,ok,285.64112338036387,0.12780800461769104,ok,,404.4135638809855,0.09027200192213058,1.4158100174618853
16,65536,8,ok,284.14711524746093,0.12848000228405,ok,,396.266298616263,0.09212800115346909,1.3945814592245942
16,131072,8,ok,282.4587144715119,0.1292479932308197,ok,,392.99024923057607,0.0928959995508194,1.3913192586954584
16,262144,8,ok,280.44512062259764,0.13017599284648895,ok,,386.4670491845366,0.09446399658918381,1.3780487545176994
