B,Q,kind,H,role,backend,status,skip_reason,figure2_hardware_tflops,effective_e2e_tflops,figure2_latency_us,latency_ms_median
1,2,prefill,524288,dense,flashmla_dense_bf16_multiquery,ok,,633.4561605288033,552.8062608062302,230.5281,0.26416000723838806
1,2,prefill,2048,sparse,flashmla_sparse_bf16,ok,,10.366167959351307,8.353229806828947,55.02760000000001,0.06828799843788147
1,2,prefill,4096,sparse,flashmla_sparse_bf16,ok,,10.368560953487144,8.400467116765487,55.01490000000001,0.06790400296449661
1,2,prefill,8192,sparse,flashmla_sparse_bf16,ok,,10.364397478060217,8.384662709344813,55.03699999999999,0.06803199648857117
1,2,prefill,16384,sparse,flashmla_sparse_bf16,ok,,10.352904074732168,8.396510201699371,55.09809999999995,0.0679360032081604
1,2,prefill,32768,sparse,flashmla_sparse_bf16,ok,,10.355384942152941,8.384662709344813,55.08489999999995,0.06803199648857117
1,2,prefill,65536,sparse,flashmla_sparse_bf16,ok,,10.356513002256767,8.400467116765487,55.078899999999976,0.06790400296449661
1,2,prefill,131072,sparse,flashmla_sparse_bf16,ok,,10.361385283272492,8.400467116765487,55.052999999999955,0.06790400296449661
1,2,prefill,262144,sparse,flashmla_sparse_bf16,ok,,10.356625821784629,8.396510201699371,55.07829999999997,0.0679360032081604
1,2,prefill,524288,sparse,flashmla_sparse_bf16,ok,,10.358318409712853,8.400467116765487,55.0693,0.06790400296449661
2,2,prefill,2048,dense,flashmla_dense_bf16_multiquery,ok,,96.11122987451304,32.671881301713,11.881699999999984,0.03494400158524513
2,2,prefill,4096,dense,flashmla_dense_bf16_multiquery,ok,,157.72489449611012,59.540298424977884,14.473399999999998,0.038336001336574554
2,2,prefill,8192,dense,flashmla_dense_bf16_multiquery,ok,,237.50269860761335,102.4658386696774,19.218800000000005,0.044544000178575516
2,2,prefill,16384,dense,flashmla_dense_bf16_multiquery,ok,,352.64036840580246,160.78849118797805,25.88450000000002,0.05676800012588501
2,2,prefill,32768,dense,flashmla_dense_bf16_multiquery,ok,,468.46266279675535,268.70062602987065,38.96729999999999,0.0679360032081604
2,2,prefill,65536,dense,flashmla_dense_bf16_multiquery,ok,,547.836780835793,382.33137956102155,66.64090000000002,0.09548799693584442
2,2,prefill,131072,dense,flashmla_dense_bf16_multiquery,ok,,598.6746539413915,486.09449151374605,121.96200000000002,0.1502079963684082
2,2,prefill,262144,dense,flashmla_dense_bf16_multiquery,ok,,629.9544894275667,563.943250106904,231.8104,0.25894400477409363
2,2,prefill,524288,dense,flashmla_dense_bf16_multiquery,ok,,650.4217763623811,613.4035477577252,449.03000000000003,0.4761280119419098
